EntidadID;Descripcion-es;Description-en
FRBRXXXX;Descontando los territorios de la Amazonía y las franjas fronterizas en el sur de Brasil, queda todavía una parte desconocida el interior del continente al oeste de la línea de Tordesillas que ya tempranamente en mapas de los siglos XVI y XVII aparece como parte de Brasil aunque no había presencia portuguesa. En ausencia de otros criterios y topónimos aplicables, figuran como Brasil en la base de datos.;dummy
FRCEXXXX;La ciudad de los Césares  era el  nombre para una ciudad mítica en la Patagonia, especie de El Dorado patagónico. Empleamos el término para acentuar lo utópico de la pertenencia de las vastas zonas desconocidas al Imperio español.;dummy
FRCHBMBM;"Se conocía como Araucanía el territorio comprendido entre el río Biobio y el río Bueno. Solo las partes fortificadas al oeste/sur del Biobio (Frontera del Arauco) y la ""tierra del sur"" (Huilli-Mapu) entre los ríos Toltén y Bueno (parte de la jurisdicción de Valdivia y con pueblos de misión) tenían instituciones coloniales. El resto de la tierra fue el de los  araucanos, que tenían una autonomía pactada y reconocida desde el parlamento de Quilín en 1641, aunque la relación con los españoles seguía siendo frágil, con episodios de alzamiento y guerra (1722-1727), frecuentes robos y malocas, pero también escenificaciones y renovaciones de las paces en forma de parlamentos. Goyeneche (([[:fuentes:goyeneche]])) a fines del siglo XVIII distingue entre los Butal-mapus de  Labquen-Mapu (Costa), el Lelbun-Mapu (valle central) e Ina-Pire-Mapu (sub-andino). El Huilli-Mapu, al sur del río Toltén, como ya indicamos, es territorialmente identico con la gobernación de Valdivia.";dummy
FRCIGIXX;"El area al sur de los moqui y los partidos Zuñi/La Laguna hasta tocar con los presidios de Sonora y Nueva Vizcaya - comprendiendo partes que deben considerarse como de Nuevo México y Sonora - fue sobre todo habitado por apaches gila, por lo que se refiere al area comunmente como ""apachería"" o más concretamente ""provincia de Gila"".";dummy
FRCIMOXX;Los pueblos de los moqui (= hopi), en el siglo XVII estaban incorporados en el régimen colonial de Nuevo México, pero después de la rebelión no podían ser reconquistados. Hubo varias entradas de misioneros en la zona y algunas alianzas de los moquis con los pueblos de Zuñi para enfrentar a los Navajos que avanzaron sobre la tierra moqui y Nuevo México, pero ya no se incorporarían a la esfera española ni se establecían nuevas misiones. Originalmente contigua al partido de Zuñi, con el avance de tiempo se representó a la provincia de los navajos separando Moqui y Zuñi;dummy
FRCINAXX;El area entre la provincia de moqui y las partes septentrionales de Nuevo México comunmente fue llamado provincia de los Navajos, por la tribú  que amenazó tanto los pueblos moqui como novomexicanos. Con el avance del siglo, los navajos avanzaron sobre los hopi hasta aquéllos quedaron casi comprendidos en la provincia de los navajos.;dummy
FRCIXXXX;"Las siete ciudades de Cíbola fueron otro mito del tipo ""El Dorado"" del siglo XVI, descrito como al oeste de Quivira y comunmente identificado con lo que sería Nuevo México. Así, siempre fue un El Dorado más a mano que Anián o Quivira. Así, usamos este término para referirnos a las fronteras más cercanas y con más interacción - zonas ocasionalmente o anteriormente controladas (provincia de Moqui), de las que se tenía algún conocimiento y que se penetraron por algún misionero en diferentes momentos.";dummy
FRCIYUXX;Las montañas y los desiertos al norte de Nuevo México propio, desde los moquis hasta Taos, se comoció como provincia de los yutas, la principal tribu de la zona. Durante el siglo XVIII hubo algunos viajes de misioneros desde Nuevo México, sobre todo aquél de 1776 y 1777, que llegaron hasta el gran lago salado de Utah.;dummy
FREDBPXX;"Las misiones del Bajo Napo propias terminaron en la ""sierra"" hacia el rio Putumayo. La misión en el alto Putumayo (Sucumbíos) fue de los ""seráficos de Popayán"". La actividad misionera, sin embargo, no fue muy alta. Hay algunas alusiones acerca de una ""misión de San Joaquín"" en la confluencia del Putumayo en el Marañón (([[:fuentes:rel-quito]], no. 74; [[:fuentes:izaguirre]], vol. VI, p.48]])), pero  considero dudosa su existencia. Entre 1784 y 1789 dos padres mercedarios del colegio de Tejar (Quito) fundaron dos misiones efímeras (San Ramón Nonato y Asunción), en una empresa auspiciada por el gobernador de Maynas, Francisco de Requena (([[:fuentes:rel-quito]], no. 74)), según el que el Putumayo había sido agregado a Maynas en 1782. Pero las misiones no tenían substancia y se perdieron cuánto más tarde para 1793 (([[:fuentes:garcia-misiones]])).  Los franciscanos de Popayán se quejaron ya en 1785, invocando sus derechos más antiguos, pero en la real cédula de 28 de mayo de 1803 sobre la erección del obispado de Maynas se habla de las ""Misiones de Religiosos Mercedarios en la parte inferior del rio Putumayo"" y en julio de 1803 el presidente de Quito reiteró que deberían misionarse desde Quito. Con la creación de la comandancia general de Maynas, cuyo fin fue parar el avance de los portugueses por el Amazonas, como último, se puede asumir su pertenencia teórica a esa entidad.";dummy
FREDCAXX;"El ""País de la Canela"" en la mítica de los Conquistadores fue un país amazónico maravilloso al este de los Andes visitado por Gonzalo Pizarro y Orellana, en lo que luego sería la parte amazónica de las provincias de Popayán y Quito. En algunas partes cercanas luego se instalaron zonas misioneras. Una zona hasta incorporó el nombre del país mítico: Canelos. Sin embargo, se trata solo de la concretización y puede aplicarse el nombre a toda el area no conocida en la amazonía de la ""provincia de Popayán"" Hasta finales de la Colonia quedó un vasto territorio totalmente desconocido entre los ríos Guaviare (límite entre Popayán y Llanos/Quito y Santafé) y Yapura (Caquetá) al este del río Fragua las misiones andaquíes. Para Velasco (([[:fuentes:velasco]])), en un mapa de Popayán que acompaña la obra, se muestra este límite claramente. Par él, incluso, es el Caquetá el límite entre Popayán y Santafé.  Y es justamente en la moderna provincia de Caquetá donde más vivo es la referencia al ""País de la Canela"".";dummy
FRGDTXCO;El este y noreste de los llanos no controlados fue ranchería de los comanches y simplemente se conocían como Comanchería. La parte oriental fue teoreticamente parte de la provincia de Texas, pero sin límites fijos hacia el interior. El puesto más avanzado del poder español fue el presidio de San Sabá hasta abandonarse en 1768. Fue fundado desde Coahuila y así está en el mapa (([[:fuentes:MP-Mexico,346]])), pero mapas más tardíos muestran la zona como parte de Texas, y a veces se lee de un litigio. En todo caso, esta disputa careció de relevancia porque San Sabá no volvió a ocuparse, siendo solo punto de referencia geográfica para alguna expedición punitiva o exploradora.;dummy
FRGUCYTA;La parte interior oriental de Comayagua más allá de Olancho quedó fuera del orden colonial propio. El algunos mapas y el libro de juarros, se le da el nombre de Taguzalpa, por lo que decidimos también darle este nombre.;dummy
FRGUCYXI;Los indios xicayes (y otras tribus, relacionados con los zambos misquitos) habitaban en la costa atlántica de Comayagua entre San Pedro Sula y Yoro, quedando efectivamente fuera del dominio colonial. Aun así, la zona se consideró parte de la subdelegación de Yoro (([[:fuentes:fernandez-hernandez]])).;dummy
FRMOMOXX;"Tanto en la provincia de Honduras (Taguzalpa) como en la de Nicaragua (Tologalpa), existían ""provincias"" no conquistadas ni controladas, habitadas por diferentes étnias, entre ellos la dominante etnia afro-india de los mosquitos .";dummy
FRMOTAXX;"""Talamanca"" fue un area no sometida entre las gobernaciones de Costa Rica y Veraguas. Había sido descubierto por Colón e incluido en el primitivo gobierno de Veraguas, al que  se presume que perteneció el area durante la Colonia. Sin embargo,  a principios del siglo XVII, la jurisdicción de una nuevamente fundada ciudad  de Talamanca y su provincia de ""Duy y Mexicanos"" presumiblemente llegó hasta la isla Escudo de Veraguas. Tanto ciudad como provincia fueron efímeras, pero es la razón por la que Costa Rica - desde donde se había fundado Talamanca - reclamó el area y lo reclamó y poseyó en la época de la independencia hasta la ocupación de las Bocas por Colombia en 1836. En realidad, las misiones de Talamanca llegaron solo hasta la bahía del almirante y la isla de Tójar. A principios del siglo XVIII, los talamanqueños  se retiraron de toda la costa, que luego fue dominio de zambos mosquitos, colonos ingleses y escoceses, con una población de fuerte componente étnico afro-criollo (([[:fuentes:enciclopedia-diaspora]],vol.3,p.746)).";dummy
FRMOXXXX;"A principios del siglo XVIII, en muchas partes de las costas caribeñas entre Tabasco y el fuerte de Chagres en Panamá, colonos ingleses establecieron poblados para el corte de ""palo y de tinte"" y similares actividades. También, las costas se convirtieron en refugio de cimarrones provenientes de Jamaica (y las colonias españolas), contribuyendo junto con la población autóctona a la etnogénesis del pueblo de ""zambos mosquitos"", que empezó a dominar las costas entre Trujillo (Honduras) y el río Chagre. Esta frontera se distingue de otras areas ""no sometidas"" con ""indios bravos"", ""infieles"" o ""cimarrones"" por la alianza formalizada de Inglaterra con el llamado ""rey"" de los mosquitos. Los conflictos armados en esta región, por lo tanto, seguían generalmente las coyunturas generales en las relaciones entre ambas Coronas (y las influyeron). Por esta razón, consideramos esa América central con influencia británica como una zona fronteriza común. Se podrían subsumir también otras partes: Los xicaques de Honduras y la costa del Golfo Dulce y los interiores de Tologalpa y Taguzalpa, así como los lacandones de Tabasco y Chiapas tampoco fueron sometidos y había contacto con ingleses y acciones de zambos mosquitos - pero no existieron asentamientos británicos o dominancia de los mosquitos. Lo mismo vale para los indios darienes y cunacunas entre Portobelo y Cartagena de Indias y los guajiros en Riohacha, indómitos y muy activos en el comercio ilícito, que excluimos más bien por corresponder a otro contexto y ámbito geográfico. Además, allá (especialmente la Guajira) hay mayor dificultad para establecer territorialidades yuxtapuestas. Territorialidades españolas e indígenas se solapan y sobreponen más bien, y oscilan según qué grupo en cierto momento tenía más momento activo en resforzar su dominancia.";dummy
FRNGCUXX;"Los indios cuna se mantenían como independientes de las instituciones coloniales del Imperio durante toda la Colonia. En cuanto a la pertenencia teórica a una provincia, la evidencia no es conclusiva. La parte al oeste del río Atrato en todo caso perteneció a la provincia del Darién, pero la parte oriental hasta el ""río San Juan"" a veces se muestra o menciona como parte de la provincia de Cartagena, otras veces como parte de la misma provincia del Darién ((como en un mapa de 1778, hecho por orden del gobernador de Cartagena [[:fuentes:cartografia-ultramar]], carpeta 5, vol. 2, no.7, así como un ""Plano hidrográphico"" también de 1778, pero últimamente basado en información de 1749, pero también el mapa de  (([[:fuentes:cruz-cano]])) y un mapa del ""Reyno Tierra Firme ú Castilla del Oro. Panamá, Veragua, Darien , Biruquete"" por Juan López de 1785)). En ese último mapa, la desembocadura también es del Chocó, cortando así la provincia del Darién. El ""Mapa general del Nuevo Reino de Granada formado ... De orden del ... Virrey D. José Ezpeleta"" (([[:fuentes:cartografia-ultramar]], carpeta 5, 2, no.8-I,1)), en cambio tiene la desembocadura del Atrato como parte del Chocó y la costa al oriente como parte de Cartagena. También el gobernador del Darién en un informe de 1774 presenta esta versión (AGN-C, CACIQUES_INDIOS,1,D.13, f. 183). Por lo menos a partir en 1782, la vigilancia militar de la costa y la fundación de fortines y poblaciones recayó en la comandancia de Cartagena, incluso en la parte occidental del golfo hacia Portobelo. Hubo inspectores para tal tarea nombrados por el gobernador - sin que por esto el territorio necesariamente formase parte de la provincia de Cartagena. La cartografía nacional en la tradición de Codazzi, sin embargo, muestra la parte oriental del golfo de Urabá como perteneciente a Antioquia - provincia que más tarde se apoderaría de la zona. Esta interpretación no se apoya en la cartografía de la época. En fin, la ""provincia de Cunacuna"" como a veces se llama en los documentos fue un area totalmente fuera del control colonial y sin concepción administrativo-territorial clara.";dummy
FRPAMAXX;"En el temprano siglo XVII, la colonización española había contado con más presencia en el actual sur de Brazil, con las ciudades de Guayrá y Jerez como dependencias de Paraguay. Después de la pérdida de esos lugares, los portugueses se arraigaron en la zona a través de misiones jesuíticas y los ""mamelucos"", una población mestiza que luchó para los portugueses y  ""bandeirantes"" brasileños.";dummy
FRPAPJXX;Por lo menos desde los 1730, el area al sur del río Pachitea y al oeste del Ucayali fue ambito de esfuerzos misioneros por parte de los franciscans del colegio de Ocopa. Sin embargo, esas misiones siempre estaban en una situación precaria y se perdieron casi completamente con la rebelión de Juan Santos Atahualpa, quien tenía su base en el Pajonal. Solo el valle de Vitoc se repoblaría a fines de la Colonia.;dummy
FRPAPSXX;En el territorio del rio Ucayali había una efímera presencia española en forma de entradas y alguna actividad misionera por lo menos hasta la rebelión de Juan Santos Atahualpa en 1742. Los documentos y mapas de la época llaman estas tierras indómitas Pampa del Sacramento. Dado los contactos y actividades existentes, incluimos esta zona en el HGIS, mientras que para las tierras incógnitas al este del Ucayali, nos contentamos con la representación de las líneas de los diferentes tratados entre las coronas ibéricas.;dummy
FRPAXXXX;El Gran Paititi en los siglos XVI y XVII era el  nombre para una ciudad perdida incaica y reino mítico en la Amazonía peruana, refugio para los descendientes de los incas y supuesto imperio. Originalmente confinado al area oriental de los Andes, se empezó a buscar esa mítica ciudad en toda la Amazonía al sur del río. Empleamos el término para acentuar lo utópico de la pertenencia de las vastas zonas desconocidas al Imperio español.;dummy
FRQVBMXX;El Bolsón de Mapimí es un area desértico que mide casi 200-250km este-oeste  y unos 350km norte-sur y que efectivamente dividió la Nueva Vizcaya de Coahuila, a pesar de haber un límite teorético de los dos gobiernos en alguna parte occidental del bolsón. Nunca fue realmente controlado, y con la debilitación de las pequeñas etnias de la zona no fueron los españoles sino los apaches que llenaron el vacío, amenazando los asentamientos españoles hasta Nuevo León, Parras y Monclova. Tocó a los presidios alrededor del bolsón conducir acciones militares punitivas y evitar un mayor avance apache hacia las zonas colonizadas. La construcción de dos presidios - San Carlos en la parte de Nueva Vizcaya y San Vicente en la parte coahuilense - en 1775 para establecer una línea contínua de defensa septentrional fracasó por la mala situación de abastecimiento de la tropa y no considerarse suficiente la calidad de la tierra para sostener una población civil. Teodoro Croix ordenó el abandono de ambos presidios en 1780. En 1784 quedaron desamparados ambos lugares y el bolsón continuó su existencia de apendix meridional apache. Representamos esta frontera interna por su prominencia conceptual y la habitual representación cartográfica del bolsón como fuera del ámbito controlado en muchos mapas de la segunda mitad del siglo XVIII.;dummy
FRQVLLXX;A principios del siglo XVIII, los españoles todavía no habían reconocido otra presencia europea en el interior norteamericano. En la guerra de la quadruple alianza (1717-1720/1), una expedición española a lo que hoy es Nebraska, fracasó, siendo derrotada por indios pawnee. Tras la guerra, se estableció un límite entre la Louisiane francesa y la provincia de Texas en la parte sur, entre el presidio de Adaes y el fuerte de Natchitoches, de la costa hasta el río Rojo. Límites verdaderos más al occidente, en los territorios desconocidos, no fueron establecidos - especialmente al oriente de Nuevo México.  Es una simple proyección posterior seguir el río Rojo hasta sus cabezas, qunque cabe decir que los franceses establecieron algunos fortines y puestos en Missouri, Kansas y Minnesota, mientras que los españoles no avanzaron en la región.  La cuestión perdió relevancia porque tras la cesión de Luisiana por Francia, ninguna otra potencia europea reclamó el territorio, y no hubo intentos españoles para colonizar las Grandes Llanuras, ni desde Nuevo Méxio, ni Texas, ni Luisiana. Solo tras la venta de Luisiana por Napoleón en 1803, el asunto resurgió. Los EE.UU. Mandaron al teniente Zebulon Pike para reconocer los ríos Arkansas y Rojo, pero fue aprehendido por las autoridades españolas en Colorado. La posición española fue que la Luisiana le limitó a las partes pobladas a orillas de Misisipi. Especialmente, se reclamó la cuenca del Arkansas para Nuevo México. El asunto quedó inconcluso hasta el tratado Adams-Onís en 1819, que efectivamente reconoció parte de las reclamaciones sobre ese territorio, estableciendo el río Arkansas como límite al occidente del meridiano 100 y el río rojo al oriente, tirando una línea recta en el meridiano mismo.;dummy
FRQVNMNT;"Los llanos y desiertos al sur-este de Nuevo México propio fueron habitados sobre todo por comanches y apaches mescaleros (= natages), por lo que el area a veces se llama ""provincia de Natage"". No había límites de Nuevo México hacia el oriente (Texas), pero el río Pecos puede servir como aproximación. Mapas de la época muestran también areas al oriente del camino real y al sur del Río Grande, entre El Paso y Junta de los Ríos, como fuera del ámbito colonial, hasta establecerse los presidios de San Elizario y Príncipe en las riberas del río.";dummy
FRQVSMXX;"Las zonas del seno mexicano más allá de Panuco y la misión de Tamaulipas y hasta Pensacola en La Florida al principio del siglo XVIII se hallaron todavía fuera del control colonial. Ya en el siglo XVII, los franceses se establecieron en lo que en un principio en la cartografía europea de los siglos XVI y XVII (y parcialmente XVIII) aparece como parte de ""La Florida"", como región generalizada y mítica, diferenciada de la América septentrional interna. En informes y mapas manuscritos, esos territorios aparecen más bien simplemente como ""seno mexicano"" porque su reconocimiento se hizo por la costa. Con el establecimiento de las misiones y luego gobierno de Texas, se pierde también esa debil identidad geográfica: Al sur de Texas, permanecen algunos desiertos sin perfil de identidad claro (desde el punto de vista colonial), y al norte de Pánuco y oriente de Nuevo León permaneció la ""Sierra Gorda"" con sus misiones y la indómita ""huaxteca"" hasta su conquista por Moreno y Escandón. Entre Texas y la Florida propiamente dicho, como existió una colonia francesa bien establecida, luego domina la identidad de ""La Louisiane"" también en la concepción de los españoles.";dummy
FRQVXXXX;Quivira en los siglos XVI y XVII era el  nombre para un reino mítico en los llanos grandes de la América septentrional central. En el siglo XVIII ya no se usó tanto el término pero aun así lo empleamos para acentuar lo utópico de la pertenencia de las vastas zonas desconocidas al Imperio español.;dummy
FRRPCHXX;Partes de las tierras indígenas  fuera del dominio español que se conocen como El Chaco habían sido teoréticamente parte de antiguas gobernaciones como Tucumán, Santa Fe o Santa Cruz de la Sierra, pero por la imposibilitad de establecer límites en la zona, definimos el Chaco con una extensión máxima. Y nos obstenemos de asignar el territorio a audiencia o gobernación alguna cuando no hubo presencia misionera con substancia.;dummy
FRVEGULP;"La provincia de Guayana - como idea - se extendió por todo el territorio entre el Orinoco, Rio Negro, el Amazonas y la costa atlántica hasta fijarse un límite con Portugual en los tratados de Madrid (1750) y San Ildefonso (1776). En realidad, por la costa los españoles reconocieron también las colonias holandesas (y luego también inglesas) más allá del Esequibo, quedando las partes orientales de la costa con presencia francesa y portuguesa totalmente fuera de las consideraciones. Las riberas del Amazonas con alguna presencia portuguesa también se encontraron totalmente alejadas. Quedó un interior desconocido en el que la cartografía tradicional ubicó a la mítica ""Laguna del Parime"" (que luego se identificaría con la comunicación entre los ríos Negro y Orinoco que estacionalmente forma un cuerpo de agua más grande), o también ""El Dorado"".";dummy
INGDSS00;La intendencia de Arizpe fue la primera intendencia creada en Indias, como ensayo. Para un par de años, entre 1770 y 1776, existía el cargo de un intendente de Arizpe separado del cargo de gobernador, hasta que el intendente, Pedro Corbalán, reunió ambos cargos en su persona.;dummy
INSDLU00;Al crearse el nuevo gobierno de La Luisiana, se dispuso una división del gobierno entre el mando político-civil de Antonio de Ulloa y una intendencia-corregimiento. Ulloa luego tenía que dimitir, y ambas funciones se reunieron en la persona del nuevo gobernador Alejandro O'Reilly.  Bernardo de Gálvez, cuando asumió la gobernación intendencia nombró Martín Navarro, el tesorero general de la provincia, como intendente, quien recibió el título real en 1780 hasta 1788. Luego Miró y Carondelet ejercieron como gobernadores intendentes generales. En octubre de 1793 el rey dispuso nuevamente la separación del cargo de intendente de la gobernación, asumiendo Francisco Rendón (AGI,SANTO_DOMINGO,2539). Después de la cesión de Luisiana, continuó como intendencia de las Floridas con sede en Pensacola a partir de 1804 (intendente Ventura Morales).;dummy
INVECA00;"La intendencia de Caracas, desde su creación, coincidía territorialmente con la nuevamente formada capitanía general. Sin embargo, con la aplicación de la ordenanza de intendentes de 1786, se le unió el título de superintendente delegado de Real Hacienda. Cuando en 1789 el gobernador de Maracaibo y luego otros (Cumaná, Guayana) adquirieron el título de intendentes para sus provincias, por lo que se empieza a hablar con más frecuencia de la ""superintendencia"" para referirse a la facultad superior de Caracas en materias de Hacienda que seguía existiendo. Es decir, las relaciones de poder no cambiaron mucho. Así se puede entender también que la existencia de esas gobernaciones intendencias se ignora en la literatura, para la que existe solo la intendencia. Hasta el estudio más detallado sobre la intendencia de Caracas (([[:fuentes:garcia-venezuela]])), pp.44-45, al hablar de la superintendencia, no menciona las intendencias provinciales.";dummy
